model,model_label,cfi_row,fico_10k_label,naming_note,statement_section,unit,FY2023,FY2024,FY2025,primary_10k_url_FY2025,also_FY2024_url,also_FY2023_url,xbrl_concept,companyfacts_api
3-Statement / DCF,CapEx,3S!row68; DCF!D15 / row24,Purchases of property and equipment + Capitalized internal-use software costs,"NAMING / SCOPE. CFI 'Investments in Property & Equipment' / DCF Capex. FICO CapEx for modeling = PPE purchases + capitalized internal-use software (both in CF investing). FY25: 8,922 + 30,485 = 39,407.",Consolidated Statements of Cash Flows — Investing activities,USD thousands,4237,25551,39407,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://www.sec.gov/Archives/edgar/data/814547/000162828024045719/fico-20240930.htm,https://www.sec.gov/Archives/edgar/data/814547/000081454723000022/fico-20230930.htm,PaymentsToAcquirePPE + Capitalized internal-use software (10-K CF),https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json
3-Statement / DCF,Changes in NWC,3S!row64; DCF!E25,Derived Δ(Accounts receivable − Accounts payable),Not a single printed 10-K total. Built from BS: AR and AP. CF also shows AR/AP working-capital lines separately.,Balance Sheet + Cash Flow working capital lines,USD thousands,63801.0,35231.0,92664.0,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://www.sec.gov/Archives/edgar/data/814547/000162828024045719/fico-20240930.htm,https://www.sec.gov/Archives/edgar/data/814547/000081454723000022/fico-20230930.htm,Derived from AccountsReceivableNetCurrent & AccountsPayableCurrent,https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json
3-Statement,Operating Cash Flow,3S!row65,Net cash provided by operating activities,Same meaning; FICO wording is longer.,Consolidated Statements of Cash Flows,USD thousands,468915.0,632964.0,778807.0,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://www.sec.gov/Archives/edgar/data/814547/000162828024045719/fico-20240930.htm,https://www.sec.gov/Archives/edgar/data/814547/000081454723000022/fico-20230930.htm,NetCashProvidedByUsedInOperatingActivities,https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json
3-Statement / DCF,Cash & Equivalents,3S!row41; DCF!D14 (overridden by 10-Q bridge),Cash and cash equivalents,YE 10-K cash. DCF bridge may use later 10-Q cash + marketable securities.,Consolidated Balance Sheets,USD thousands,136778.0,150667.0,134136.0,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://www.sec.gov/Archives/edgar/data/814547/000162828024045719/fico-20240930.htm,https://www.sec.gov/Archives/edgar/data/814547/000081454723000022/fico-20230930.htm,CashAndCashEquivalentsAtCarryingValue,https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json
3-Statement,Accounts Receivable,3S!row42,"Accounts receivable, net","Same; 10-K says ', net'.",Consolidated Balance Sheets,USD thousands,387947.0,426642.0,529148.0,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://www.sec.gov/Archives/edgar/data/814547/000162828024045719/fico-20240930.htm,https://www.sec.gov/Archives/edgar/data/814547/000081454723000022/fico-20230930.htm,AccountsReceivableNetCurrent,https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json
3-Statement,Inventory,3S!row43,(not material / not presented),FICO software/scores business — no material inventory line; model uses 0.,Consolidated Balance Sheets,USD thousands,0,0,0,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://www.sec.gov/Archives/edgar/data/814547/000162828024045719/fico-20240930.htm,https://www.sec.gov/Archives/edgar/data/814547/000081454723000022/fico-20230930.htm,n/a,https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json
3-Statement,Current Assets,not a CFI hard input (informational),Total current assets,From 10-K balance sheet total current assets.,Consolidated Balance Sheets,USD thousands,556448.0,617413.0,705165.0,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://www.sec.gov/Archives/edgar/data/814547/000162828024045719/fico-20240930.htm,https://www.sec.gov/Archives/edgar/data/814547/000081454723000022/fico-20230930.htm,AssetsCurrent,https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json
3-Statement,Net PP&E,3S!row44,"Property and equipment, net",Same meaning.,Consolidated Balance Sheets,USD thousands,10966.0,38465.0,67713.0,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://www.sec.gov/Archives/edgar/data/814547/000162828024045719/fico-20240930.htm,https://www.sec.gov/Archives/edgar/data/814547/000081454723000022/fico-20230930.htm,PropertyPlantAndEquipmentNet,https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json
3-Statement,Total Assets,3S!row45 (formula in template),Total assets,SEC total assets provided for reference; CFI row 45 is a SUM formula — do not overwrite.,Consolidated Balance Sheets,USD thousands,1575281.0,1717884.0,1868133.0,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://www.sec.gov/Archives/edgar/data/814547/000162828024045719/fico-20240930.htm,https://www.sec.gov/Archives/edgar/data/814547/000081454723000022/fico-20230930.htm,Assets,https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json
3-Statement,Accounts Payable,3S!row48,Accounts payable,Same naming.,Consolidated Balance Sheets,USD thousands,19009.0,22473.0,32315.0,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://www.sec.gov/Archives/edgar/data/814547/000162828024045719/fico-20240930.htm,https://www.sec.gov/Archives/edgar/data/814547/000081454723000022/fico-20230930.htm,AccountsPayableCurrent,https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json
3-Statement / DCF,Total Debt,3S!row49; DCF!D13 (10-Q override optional),Current maturities of long-term debt + Long-term debt,"Sum of current + noncurrent debt from BS / debt footnote. FY25 total debt 3,055,691. DCF may override D13 with later 10-Q debt.",Consolidated Balance Sheets / Debt footnote,USD thousands,1811658.0,2209021,3055691,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://www.sec.gov/Archives/edgar/data/814547/000162828024045719/fico-20240930.htm,https://www.sec.gov/Archives/edgar/data/814547/000081454723000022/fico-20230930.htm,LongTermDebtCurrent + LongTermDebtNoncurrent / 10-K note,https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json
3-Statement,Retained Earnings,3S!row53,Retained earnings,Same; equity section of balance sheet / equity statement.,Consolidated Balance Sheets / Stockholders' equity,USD thousands,3388059.0,3900870.0,4552816.0,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://www.sec.gov/Archives/edgar/data/814547/000162828024045719/fico-20240930.htm,https://www.sec.gov/Archives/edgar/data/814547/000081454723000022/fico-20230930.htm,RetainedEarningsAccumulatedDeficit,https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json
3-Statement,Total Equity,3S!row54 (formula/total),Total stockholders' deficit / equity,FICO reports stockholders' deficit (negative equity) due to buybacks.,Consolidated Balance Sheets,USD thousands,-687990.0,-962679.0,-1745784.0,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://www.sec.gov/Archives/edgar/data/814547/000162828024045719/fico-20240930.htm,https://www.sec.gov/Archives/edgar/data/814547/000081454723000022/fico-20230930.htm,StockholdersEquity,https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json
