tab,cell,name,value,what,how,why,source
LBO,D16,Minimum cash,$50.0m,Cash retained for ops; excess used as a Source.,Hardcoded policy input.,Leaves liquidity post-close; excess cash = 150.1 − 50 = 100.1.,Model assumption (LBOMODEL1)
LBO,I11,Entry EV / LTM EBITDA,8.57x,Implied entry multiple.,(Equity buy + debt − cash) / EBITDA.,Output of offer + net debt vs LTM EBITDA.,Derived from SEC + market inputs
LBO,D17,Exit EV / EBITDA,8.0x,Exit multiple in hold-year 5.,LBO!D17 policy input.,Near entry; assumes modest multiple compression vs entry 8.57x.,Model assumption (LBOMODEL1)
LBO,C29/D29,Term Loan A,2.5x / $786.2m,New TLA quantum.,EBITDA × turns.,Part of 5.0x new-money debt stack.,Model assumption (LBOMODEL1)
LBO,C30/D30,Term Loan B,1.5x / $471.8m,New TLB quantum.,EBITDA × turns.,Part of 5.0x new-money debt stack.,Model assumption (LBOMODEL1)
LBO,C31/D31,Senior Notes,1.0x / $314.5m,New senior notes quantum.,EBITDA × turns.,Completes 5.0x new debt with TLA+TLB.,Model assumption (LBOMODEL1)
LBO,D35,Sponsor equity,"$1,203.6m",Equity check (Sources plug).,Total Uses − excess cash − new debt.,"Balancing figure so Sources = Uses ($2,876.2m).",Derived
LBO,G36,Transaction fee %,2% of equity value,M&A / financing fee assumption.,Fees $ = 2% × equity purchase.,Simple fee load for Uses; financing fee dollars also shown in fee block.,Model assumption (LBOMODEL1)
LBO,F65:J65,Revenue growth (FY26–30),4% / 5% / 5% / 4% / 3%,YoY revenue growth in forecast.,Hardcoded on growth row.,Modest recovery vs FY24 dip; not a hyper-growth case.,Model assumption (LBOMODEL1)
LBO,E66/F66,Gross margin,FY25 82.35% → Fcst 82.85%,Gross profit % of sales.,From FY25 COGS implied by 10-K; slight +50 bps in forecast.,Software gross margin structure from SEC P&L.,https://www.sec.gov/Archives/edgar/data/1794515/000179451526000012/zi-20251231.htm
LBO,E67/F67,R&D margin,14.57% flat in forecast,R&D % of sales.,FY2025 R&D / Revenue held flat.,Keeps product investment while S&M is the efficiency lever.,https://www.sec.gov/Archives/edgar/data/1794515/000179451526000012/zi-20251231.htm
LBO,F68:J68,SG&A margin path,47.72% → 46.22% → 44.72% → 44.22% → 44.22%,SG&A (S&M+G&A) % of sales in forecast.,Compresses ~500 bps of revenue by Y3 vs FY25 49.72%.,Operationalizes ZI AI-SDR thesis into the LBO P&L.,LBOMODEL1 thesis + ZI_* tabs; FY25 base from https://www.sec.gov/Archives/edgar/data/1794515/000179451526000012/zi-20251231.htm
LBO,C69:J69,Tax rate,21%,Book tax rate on EBT.,Flat statutory-like rate in MODEL1.,Simplifies vs actual cash tax / NOL complexity.,Model assumption (LBOMODEL1)
LBO,I275/J275,Sponsor MoIC / IRR,~2.97x / ~24.4%,Base returns at 8.0x exit.,Exit equity / sponsor equity; IRR = MoIC^(1/5)−1.,"Illustrative; sensitive to exit multiple, leverage, and SG&A path.",Derived on LBO returns block
DCF,C6,DCF reference share price,$5.3875 (LBO offer),Price shown in DCF header for football-field compare.,Synced to LBO offer/sh.,Makes DCF tab speak the same deal price as the LBO.,LBO!H20
DCF,C8,Basic / diluted share count,292.312m,Share count for per-share value.,Synced to LBO shares.,Same 10-Q share count as LBO.,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001794515&type=10-Q
DCF,C55/C56/C57,CAPM inputs,Rf 4.3% / β 1.20 / ERP 5.0%,Building blocks of cost of equity.,Ke = Rf + β×ERP.,Illustrative SaaS CAPM stack for DCF tab (not Yacktman-adjusted).,Model assumption (LBOMODEL1)
DCF,C50/C51,Cost of debt / tax,7.0% / 21%,After-tax debt cost inputs.,Rd×(1−t) in WACC.,Rounded financing cost vs new LBO stack.,Model assumption (LBOMODEL1)
DCF,C53/C58,Capital structure weights,Wd 45% / We 55%,Target weights in WACC.,Hardcoded policy on DCF tab.,Closer to PF leveraged structure than pre-deal equity-heavy weights.,Model assumption (LBOMODEL1)
DCF,C9/C59,WACC,~8.53%,Discount rate for unlevered FCF.,We×Ke + Wd×Rd×(1−t).,Used for DCF PV math on this tab.,Derived from CAPM + Rd assumptions
DCF,J37,Exit EBITDA multiple (DCF),8.0x,Terminal multiple in exit-EBITDA approach.,Synced to LBO!D17.,Keeps LBO and DCF exit frameworks comparable.,LBO!D17
DCF,C37,Perpetuity g,0% in template cell (sensitivity uses 2–4%),Long-term growth in Gordon approach.,Template default; grid varies g.,Football-field sensitivity still shows 2–4% g range.,WSP template convention + MODEL1 note
DCF,C31,Cash-flow timing,Middle of period,Mid-year discounting convention.,Midperiod adjustment factor on DCF tab.,Standard IB mid-year convention for annual FCFs.,WSP template
Shares,E5/E6,Offer price for dilution,$5.3875,Price used in treasury-stock method.,Synced to LBO offer.,Aligns diluted-share math with deal price.,LBO!H20
Shares,E7/E14,Basic & net diluted shares,292.312m / 292.312m,Share count used for equity value.,Outstanding shares; options set to 0 in MODEL1.,10-Q share count; detailed options ladder not loaded (net dilutive options = 0).,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001794515&type=10-Q
Shares,E8:E11,Options / other dilutives,0,Incremental dilutive securities.,Cleared BMC ladder; set to zero pending full award rollforward.,Conservative vs overstating dilution without a current award table.,Model assumption (LBOMODEL1) — update from proxy/10-K award note when refined
52wkHL,E4/E5,52-week high / low,Legacy sample tape (not GTM),Market range for football-field.,Still WSP BMC sample series in MODEL1.,Not yet replaced with GTM price history; LBO uses spot $4.31 instead.,WSP sample residual — replace with GTM tape in MODEL2+
ZI_01_10K_Source,E5,FY2025 Revenue,"$1,249.5m",Annual revenue anchor.,XBRL RevenueFromContractWithCustomerExcludingAssessedTax.,Latest annual 10-K fact.,https://www.sec.gov/Archives/edgar/data/1794515/000179451526000012/zi-20251231.htm ; https://data.sec.gov/api/xbrl/companyfacts/CIK0001794515.json
ZI_01_10K_Source,E6,FY2025 Selling & Marketing,$414.6m,S&M expense (the bloat line).,XBRL SellingAndMarketingExpense.,33.2% of FY25 revenue — thesis starting point.,https://data.sec.gov/api/xbrl/companyfacts/CIK0001794515.json
ZI_01_10K_Source,E10/E13/E20,OpInc / D&A / EBITDA proxy,$225.7 / $88.8 / $314.5m,"Operating income, D&A, EBITDA proxy.",OpInc + OtherDepreciationAndAmortization.,Bridges to LBO!D13 LTM EBITDA.,https://data.sec.gov/api/xbrl/companyfacts/CIK0001794515.json
ZI_01_10K_Source,E28,S&M employees,"1,370",Headcount in sales & marketing.,"10-K Human Capital disclosure (3,180 total).",Denominator for SDR % assumption.,https://www.sec.gov/Archives/edgar/data/1794515/000179451526000012/zi-20251231.htm
ZI_02_SM_Isolation,C16,Target mature SaaS S&M % rev,22%,Benchmark efficient S&M intensity.,Yellow input vs FY25 33.2%.,Defines “bloat” dollars vs a mature SaaS target.,Model assumption (LBOMODEL1)
ZI_03_Headcount_AI,C6,% of S&M that are outbound SDR/BDR,40%,Share of S&M headcount treated as AI-replaceable SDRs.,"Yellow input × 1,370.",10-K does not disclose SDR count — explicit model assumption.,Model assumption (LBOMODEL1)
ZI_03_Headcount_AI,C8,Fully loaded cost / SDR / yr,$155k,Cash cost per outbound SDR.,Yellow input.,Below blended residual S&M $/employee (commissions/ads stay).,Model assumption (LBOMODEL1)
ZI_03_Headcount_AI,C13/C15,AI seat / oversight cost,$15k per seat; $150k per oversight FTE,Replacement opex for AI agents + humans.,Yellow inputs; 1 oversight FTE / 20 seats.,Net savings must clear AI + oversight to hit margin target.,Model assumption (LBOMODEL1)
ZI_03_Headcount_AI,C21:E21,Cumulative % SDRs replaced,45% / 80% / 95% (2026–28),Headcount reduction schedule.,Yellow cumulative exit fractions.,Phased cut to avoid one-year cliff risk.,Model assumption (LBOMODEL1)
ZI_03_Headcount_AI,C16/C17,Severance / AI build,$25k per SDR; $8m Y1 build,One-time costs.,Yellow inputs in P&L impact.,Hits in-year EBITDA but excluded from run-rate bps.,Model assumption (LBOMODEL1)
ZI_04_EBITDA_Bridge,C7,Target margin expansion,500 bps,Minimum success hurdle for the AI program.,Yellow input; YES/NO vs run-rate bps.," equates to ~$62.5m EBITDA on $1,249.5m revenue.",User thesis requirement
ZI_05_Sensitivity,B12:H17,Sensitivity grid,Replace-% × AI $/seat → bps,Y3 run-rate bps under alternate AI costs / cut depths.,Algebra on SDR0 & unit costs.,Shows what it takes to stay above 500 bps if AI is more expensive.,Derived from ZI_03 inputs
