sheet,row,name,formula_pattern,explanation_20_words
3 Statement Model,48,AP $,={c}25*{c}17/365,COGS × AP days / 365; payables funded by the payable-days assumption.
3 Statement Model,49,Debt (BS),={c}100,"Debt equals the debt-schedule closing balance (open + issuance, issuance usually 0)."
3 Statement Model,50,Total liabilities,=SUM({c}48:{c}49),Accounts payable plus debt; simplified liability total in this teaching template.
3 Statement Model,52,Equity capital,={p}52+{c}20,Prior equity capital plus equity issued/(repurchased); policy keeps issuance at zero.
3 Statement Model,53,Retained earnings,={p}53+{c}33*(1-{c}13),Prior RE plus this year’s net earnings; accumulates NI into equity without dividends.
3 Statement Model,54,Shareholders’ equity,=SUM({c}52:{c}53),Equity capital plus retained earnings; book equity for the L+E side of the check.
3 Statement Model,55,Total L+E,={c}50+{c}54,Liabilities plus equity; must equal total assets when the model is in balance.
3 Statement Model,57,BS imbalance,={c}55-{c}45,L+E minus assets; should be ~0. Nonzero means a link or plug is broken.
3 Statement Model,62,CF net earnings,={c}33*(1-{c}13),"Same NI equation as the IS, written out so CFO does not hide behind a bare pointer."
3 Statement Model,63,CF + D&A,={c}92*{c}11,Adds back non-cash D&A (open PP&E × D&A%) in the cash-from-operations bridge.
3 Statement Model,64,CF − ΔNWC,={c}88-{p}88,Increase in net working capital uses cash; decrease frees cash in the CFO build.
3 Statement Model,65,Cash from operations,={c}33*(1-{c}13)+{c}92*{c}11-({c}88-{p}88),"Full CFO: NI + D&A − ΔNWC written as one equation, not assembled from pointers."
3 Statement Model,68,CapEx $,={c}24*{c}18,Revenue times CapEx%; investing outflow used in CF and the PPE roll-forward.
3 Statement Model,69,Cash from investing,={c}68,In this template CFI is CapEx only; equals the CapEx dollar line above.
3 Statement Model,72,Debt issuance CF,={c}19,Pulls the debt issuance/(repayment) policy into financing cash flow.
3 Statement Model,73,Equity issuance CF,={c}20,Pulls the equity issuance/(buyback) policy into financing cash flow.
3 Statement Model,74,Cash from financing,={c}19+{c}20,Debt plus equity financing cash; both policies are zero in the base case.
3 Statement Model,76,Δ Cash,={c}65-{c}69+{c}74,CFO minus CapEx plus financing; net change that rolls opening cash to closing.
3 Statement Model,77,Opening cash,={p}41,Starts at prior balance-sheet cash so the cash roll-forward matches history.
3 Statement Model,78,Closing cash,={c}77+{c}76,Opening cash plus Δ cash; feeds BS cash and the cash-flow check.
3 Statement Model,80,Cash check,={c}78-{c}41,Closing CF cash minus BS cash; must be zero when statements are linked.
3 Statement Model,85,WC: AR,={c}42,Working-capital schedule AR mirrors the balance-sheet AR used in ΔNWC.
3 Statement Model,86,WC: Inventory,={c}43,Working-capital inventory mirrors BS inventory (zero for this software business).
3 Statement Model,87,WC: AP,={c}48,Working-capital AP mirrors BS AP so NWC uses the same operating balances.
3 Statement Model,88,Net working capital,={c}85+{c}86-{c}87,AR + inventory − AP; operating NWC (deferred already netted in AR).
3 Statement Model,89,Change in NWC,={c}88-{p}88,Year-over-year NWC change; the cash investment/(release) used in CFO and FCFF.
3 Statement Model,92,PPE opening,={p}95 or I44,Prior closing PP&E (FY1 opens at last historical I44); base for CapEx and D&A.
3 Statement Model,93,PPE + CapEx,={c}24*{c}18,Same CapEx dollars as CF; additions that grow the gross PP&E stock.
3 Statement Model,94,PPE − D&A,={c}92*{c}11,Depreciation on opening PP&E; reduces net PP&E in the roll-forward.
3 Statement Model,95,PPE closing,={c}92+{c}93-{c}94,Open + CapEx − D&A; closing net PP&E posted to the balance sheet.
3 Statement Model,98,Debt opening,={p}100 or I49,Prior closing debt (FY1 opens at historical I49); base for interest and issuance.
3 Statement Model,99,Debt issuance,={c}19,Links the debt policy row into the schedule; base case keeps this at zero.
3 Statement Model,100,Debt closing,={c}98+{c}99,Open plus issuance/(repayment); closing debt posted to the balance sheet.
3 Statement Model,101,Interest (schedule),={c}98*{c}12,"Opening debt × interest%; same economics as IS interest, from the debt schedule."
DCF Model,D6,WACC,=R15,Pulls the live CAPM WACC from the baked CAPM block so discounting uses researched Ke/Rd.
DCF Model,E21,EBIT,=GP−SGA−R&D−DA from 3-statement,"Operating profit before interest/tax: gross profit minus SGA, R&D, and D&A from the 3S."
DCF Model,E22,Unlevered tax,=EBIT×t,Taxes as if all-equity financed; uses DCF tax rate on EBIT for capital-structure-neutral FCFF.
DCF Model,E23,D&A add-back,=3S D&A,Adds non-cash depreciation from the 3-statement into unlevered free cash flow.
DCF Model,E24,CapEx,=3S CapEx CF,Subtracts growth CapEx linked from the 3-statement investing line.
DCF Model,E25,ΔNWC,=3S ΔNWC,Subtracts the cash used when operating working capital rises with revenue.
DCF Model,E26,Unlevered FCF,=EBIT−tax+DA−CapEx−ΔNWC,FCFF available to debt and equity; the cash flow discounted in the DCF.
DCF Model,J27,Exit TV,=EBITDA_n×exit multiple,Terminal enterprise value at year 5 using exit EV/EBITDA (primary exit method).
DCF Model,E28,Transaction CF,=FCFF+TV (TV only in exit year),Periodic cash for XNPV: explicit FCFF each year; exit TV added in the terminal year.
DCF Model,D32,Enterprise value,"=XNPV(WACC, CFs, mid-year dates)",Present value of FCFF + TV using mid-year dates and the live WACC.
DCF Model,D35,Equity value,=EV+Cash−Debt,Equity bridge: enterprise value plus cash minus gross debt (net debt adjustment).
DCF Model,D37,Value / share,=Equity/Shares,Intrinsic equity value per share using diluted shares outstanding.
DCF Model,R15,WACC CAPM,=We×Ke+Wd×Rd×(1−t),Weighted average cost of capital from CAPM Ke and after-tax cost of debt.
