row,assumption,what_it_is,how_set_in_model,why_this_choice,source,source_url,assumptions_pdf_url
18,CapEx % of Revenue,Capital investment (PPE + capitalized software) as % of sales.,Yellow POLICY path: 1.25% / 1.05% / 0.90% / 0.75% / 0.60% (fade with operating leverage).,MODEL12 Yacktman: CapEx % of Revenue fades with operating leverage: 1.25% → 1.05% → 0.90% → 0.75% → 0.60%. FY1 starts near the 3yr hist avg of (PPE + capitalized software)/Rev; Y5 approaches asset-light maintenance intensity as Scores/SaaS mix dominates.,SEC 10-K / companyfacts — PPE purchases + capitalized software; fade to maintenance,https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceuscmodel12-d3ac/FICO/output/MODEL12_FICO_ASSUMPTIONS_LIST.pdf
19,Debt Issuance (Repayment),New borrowing (+) or repayment (−) in the forecast ($000s).,"Yellow POLICY input: -290,917 each year (3yr avg senior-note proceeds − line-of-credit repayments).",MODEL12: Debt CF uses the 3yr avg net debt cash flow (≈ −$291M/yr). Equity buybacks distribute residual levered FCF so cash does not stockpile. 10-K CF buybacks: FY23 $406M / FY24 $822M / FY25 $1415M (avg ≈ $881M). June 2025 authorization: $1.0B program. Financing is excluded from FCFF.,SEC companyfacts — ProceedsFromIssuanceOfSeniorLongTermDebt / RepaymentsOfLinesOfCredit,https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceuscmodel12-d3ac/FICO/output/MODEL12_FICO_ASSUMPTIONS_LIST.pdf
20,Equity Issued (Repaid),New equity issued (+) or buybacks (−) in the forecast BS/CF.,Equation: −(CFO − CapEx) − DebtIssuance so residual levered FCF funds buybacks (hist 3yr avg buybacks ≈ $881M/yr).,"Restores financing realism so cash does not artificially stockpile. Buybacks are financing — excluded from FCFF. DCF share count FALLS with this buyback outflow. Starting shares = 23,764k (FYE Sep 30, 2025 outstanding). Each forecast year: Shares_t = Shares_t−1 + EquityIssuanceCF_t / Price. EquityIssuanceCF is the buyback outflow (negative) from 3S row 20 — so repurchases REDUCE the share count. SBC is added back in FCFF but does NOT increase shares (avoids double penalty). $/share uses Year-5 buyback-adjusted shares.",SEC 10-K FY2025 — Repurchases of common stock ($1.415B); June 2025 $1B authorization,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceuscmodel12-d3ac/FICO/output/MODEL12_FICO_ASSUMPTIONS_LIST.pdf
21,SBC % of Revenue,Stock-based compensation as % of sales; non-cash add-back in CFO and FCFF.,Yellow POLICY input: flat 8.25% (3yr FY23–25 avg ShareBasedCompensation / Revenue).,MODEL12 Yacktman: SBC is added back once in CFO and FCFF at ≈ 8.25% of Revenue (ShareBasedCompensation). MODEL12 does NOT also dilute shares by SBC$/Price (that would double-penalize). Share count instead falls with buybacks.,SEC 10-K cash flow — ShareBasedCompensation (add-back only; no share dilution),https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceuscmodel12-d3ac/FICO/output/MODEL12_FICO_ASSUMPTIONS_LIST.pdf
104,Mix % — SaaS / Platform software,Share of Total Revenue from SaaS / cloud software (incl. FICO Platform cloud).,"FY25 base 21.08% (SaaS $419,720k / Total $1,990,869k), then +150 bps/yr taken from on-prem. Platform ARR KPI $263.6M is not additive IS revenue.",SaaS billed annually in advance → Deferred Revenue growth → CFO WC cash source as mix shifts. Mix offsets within Total Rev — not a second revenue line.,SEC 10-K FY2025 — Software SaaS disaggregation + Platform ARR MD&A,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceuscmodel12-d3ac/FICO/output/MODEL12_FICO_ASSUMPTIONS_LIST.pdf
105,Mix % — B2C Subscriptions (myFICO),Share of Total Revenue from B2C scoring / myFICO.com subscriptions.,"Yellow POLICY = 11.05% (FY25 B2C Scores $219,980k / Total $1,990,869k).",Near-zero DSO (card-settled consumer subscriptions). Minimal Deferred Revenue vs annual SaaS invoices. High incremental margin; WC-light cash conversion.,SEC 10-K FY2025 — Scores segment B2C / myFICO disaggregation,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceuscmodel12-d3ac/FICO/output/MODEL12_FICO_ASSUMPTIONS_LIST.pdf
106,Mix % — B2B Scores,"Share of Total Revenue from B2B scoring (mortgage, auto, card via CRAs).","Yellow POLICY = 47.65% (FY25 B2B Scores $948,595k / Total $1,990,869k).",Transactional volume through Experian/TransUnion/Equifax; ~30-day DSO. Does not create SaaS-style Deferred Revenue (usage-based recognition).,SEC 10-K FY2025 — Scores segment B2B disaggregation,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceuscmodel12-d3ac/FICO/output/MODEL12_FICO_ASSUMPTIONS_LIST.pdf
107,Mix % — Professional Services,Share of Total Revenue from implementation / consulting / training fees.,"Yellow POLICY = 4.13% (FY25 PS $82,149k / Total $1,990,869k).",Upfront integration fees convert cash quickly (low DSO) but carry significantly lower gross margin than software/scores — pulls blended COGS up vs pure SaaS.,SEC 10-K FY2025 — Software segment Professional services line,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceuscmodel12-d3ac/FICO/output/MODEL12_FICO_ASSUMPTIONS_LIST.pdf
108,Mix % — On-Premises Software,Share of Total Revenue from on-premises license + maintenance software.,"Yellow POLICY = 16.09% (FY25 on-prem $320,425k / Total $1,990,869k).","With SaaS mix, drives Deferred Revenue (maintenance billed in advance). Same 45-day DSO policy as SaaS. Completes mix identity to 100% of Total Rev.",SEC 10-K FY2025 — Software on-premises vs SaaS deployment table,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceuscmodel12-d3ac/FICO/output/MODEL12_FICO_ASSUMPTIONS_LIST.pdf
DCF-D5,Cash Tax Rate (unlevered),Cash tax rate used for FCFF unlevered taxes and after-tax cost of debt.,Yellow POLICY = 22.87% (3yr avg IncomeTaxesPaidNet ÷ EBT). NOT linked to book tax J13.,"DCF unlevered cash taxes use the 3yr average cash tax rate (IncomeTaxesPaidNet ÷ EBT ≈ 22.87%), not the book effective tax rate. The 3-statement income statement still applies book tax for NI.",SEC companyfacts — IncomeTaxesPaidNet / EBT,https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceuscmodel12-d3ac/FICO/output/MODEL12_FICO_ASSUMPTIONS_LIST.pdf
DCF-D6,WACC (discount rate),Weighted average cost of capital for XNPV of FCFF + TV.,CAPM live formula ≈ 9.24% (We×Ke + Wd×Rd(1−t)).,"Market-consistent discount rate from Rf, β, ERP, and note coupon.",FRED DGS10 / Damodaran ERP / Yahoo β / 8-K 6.250% notes,https://fred.stlouisfed.org/series/DGS10,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceuscmodel12-d3ac/FICO/output/MODEL12_FICO_ASSUMPTIONS_LIST.pdf
DCF-D7,Perpetual Growth (g),Long-run growth used only in the Gordon TV cross-check.,POLICY input = 3.0%.,Long-run nominal GDP-like floor; primary TV uses exit multiple.,Damodaran long-run growth framing,https://pages.stern.nyu.edu/adamodar/New_Home_Page/datafile/histimpl.html,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceuscmodel12-d3ac/FICO/output/MODEL12_FICO_ASSUMPTIONS_LIST.pdf
DCF-D8,Exit EV/EBITDA (BASE),Terminal enterprise value multiple on Year-5 EBITDA.,"POLICY BASE 17.5x; Bull 25.0x; Bear 12.8x. Peer set: EFX 13.88x, VRSK 17.42x, SPGI 18.11x, MCO 22.20x, MSCI 23.74x. Median ≈ 18.11x.","Base 17.5x is near the public peer median (18.1x), between Gordon-implied bear and spot/bull.",VCP Scanner FICO peer EV/EBITDA comps,https://vcpscanner.com/valuation/fico/relative,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceuscmodel12-d3ac/FICO/output/MODEL12_FICO_ASSUMPTIONS_LIST.pdf
DCF-D13/D14,Debt & Cash (equity bridge),Gross debt and cash+marketable securities for EV → equity.,Latest 10-Q bridge totals (more current than FY25 3S balances).,Bridge should reflect the latest capital structure; 3S FY25 shown as reference.,SEC 10-Q — Fair Isaac Corp,https://www.sec.gov/Archives/edgar/data/814547/000081454725000016/fico-20250331.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceuscmodel12-d3ac/FICO/output/MODEL12_FICO_ASSUMPTIONS_LIST.pdf
DCF-D12/I16,Shares Outstanding (buyback-adjusted),"Starting shares (D12 = 23,764k FYE25) fall each year with buybacks (3S equity CF / price). SBC is added back in FCFF but does NOT increase shares — avoids double penalty. $/share uses Y5 shares (I16).","D16=$D$12; E16:I16 = MAX(1000, prior + 3S!{J–N}20 / $D$11); D37=$D$35/$I$16.","Starting shares = 23,764k (FYE Sep 30, 2025 outstanding). Each forecast year: Shares_t = Shares_t−1 + EquityIssuanceCF_t / Price. EquityIssuanceCF is the buyback outflow (negative) from 3S row 20 — so repurchases REDUCE the share count. SBC is added back in FCFF but does NOT increase shares (avoids double penalty). $/share uses Year-5 buyback-adjusted shares.","SEC 10-K FY2025 — shares outstanding 23,764k; buybacks $1.415B",https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceuscmodel12-d3ac/FICO/output/MODEL12_FICO_ASSUMPTIONS_LIST.pdf
DCF-E25,ΔNWC (includes Deferred Revenue),Change in NWC = AR + Inventory − AP − Deferred Revenue. Linked live from 3S row 90 into FCFF.,DCF E25:I25 = 3S!J90:N90 (organic WC schedule).,"Deferred Revenue is a BS liability in Total Liabilities and in NWC (= AR+Inv−AP−Deferred). Forecast Deferred = Total Rev × (SaaS%+OnPrem%) × (FY25 Deferred ÷ FY25 software Rev). As SaaS% rises, Deferred rises faster than revenue → negative ΔNWC → positive CFO. Scores/myFICO are NOT added into Deferred (no double count). Hist Deferred/Rev rose 8.0%→9.4% (FY21–25).",SEC 10-K FY2025 — Deferred revenue / contract liabilities,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceuscmodel12-d3ac/FICO/output/MODEL12_FICO_ASSUMPTIONS_LIST.pdf
