row,assumption,what_it_is,how_set_in_model,why_this_choice,source,source_url,assumptions_pdf_url
18,CapEx % of Revenue,Capital investment (PPE + capitalized software) as % of sales.,Yellow POLICY path: 1.25% / 1.05% / 0.90% / 0.75% / 0.60% (fade with operating leverage).,MODEL14 Yacktman: CapEx % fades with operating leverage: 1.25%→0.60% (same path as MODEL13).,SEC 10-K / companyfacts — PPE purchases + capitalized software; fade to maintenance,https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel14-d3ac/FICO/output/MODEL14_FICO_ASSUMPTIONS_LIST.pdf
19,Debt Issuance (Repayment),New borrowing (+) or repayment (−) in the forecast ($000s).,"Yellow POLICY input: -290,917 each year (3yr avg senior-note proceeds − line-of-credit repayments).",MODEL14: Debt CF ≈ 3yr avg net debt CF. Equity buybacks = residual levered FCF after debt (no cash stockpile). Q3 FY2026 proved hyper-aggressive capacity: $1960M buybacks vs $370.3M FCF (https://www.sec.gov/Archives/edgar/data/814547/000081454726000031/exhibit991erq32026.htm). Financing is excluded from FCFF.,SEC companyfacts — ProceedsFromIssuanceOfSeniorLongTermDebt / RepaymentsOfLinesOfCredit,https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel14-d3ac/FICO/output/MODEL14_FICO_ASSUMPTIONS_LIST.pdf
20,Equity Issued (Repaid),New equity issued (+) or buybacks (−) in the forecast BS/CF.,Equation: −(CFO − CapEx) − DebtIssuance so residual levered FCF funds buybacks (hist 3yr avg buybacks ≈ $881M/yr).,"Restores financing realism so cash does not artificially stockpile. Buybacks are financing — excluded from FCFF. DCF share count FALLS with this buyback outflow. Starting shares = 21,597.635k (post–Q3 FY2026). Shares_t = Shares_t−1 + EquityCF_t / Price; EquityCF is buyback outflow (negative). Price policy $1,149 (= Q3 avg repurchase). SBC add-back does NOT increase shares. $/share uses Y5 buyback-adjusted shares.",SEC 10-K FY2025 — Repurchases of common stock ($1.415B); June 2025 $1B authorization,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel14-d3ac/FICO/output/MODEL14_FICO_ASSUMPTIONS_LIST.pdf
21,SBC % of Revenue,Stock-based compensation as % of sales; non-cash add-back in CFO and FCFF.,Yellow POLICY input: flat 8.25% (3yr FY23–25 avg ShareBasedCompensation / Revenue).,"MODEL14 Yacktman: SBC added back once in CFO/FCFF (~8.25% of Rev). MODEL14 does NOT dilute shares by SBC$/Price. Branch Process: MODEL13 started shares at 23,764k (FYE25); MODEL14 starts at 21,597.635k after Q3 FY2026 repurchases of 1,705k shares for $1960M @ $1,149 avg (Q3 FCF $370.3M). Residual FCF buybacks continue to shrink the forward share count — offsets SBC dilution economically.",SEC 10-K cash flow — ShareBasedCompensation (add-back only; no share dilution),https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel14-d3ac/FICO/output/MODEL14_FICO_ASSUMPTIONS_LIST.pdf
104,Mix % — SaaS / Platform software,Share of Total Revenue from SaaS / cloud software (incl. FICO Platform cloud).,"FY25 base 21.08% (SaaS $419,720k / Total $1,990,869k), then +250 bps/yr taken from on-prem. Platform ARR KPI $263.6M is not additive IS revenue.",SaaS billed annually in advance → Deferred Revenue growth → explicit CFO cash source (3S row 81). Source: Q1 FY2026 10-Q deferred roll-forward (https://www.sec.gov/Archives/edgar/data/814547/000081454726000011/fico-20251231.htm). Mix offsets within Total Rev — not a second revenue line.,SEC 10-Q Q1 FY2026 — Deferred revenue / contract liabilities detail,https://www.sec.gov/Archives/edgar/data/814547/000081454726000011/R45.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel14-d3ac/FICO/output/MODEL14_FICO_ASSUMPTIONS_LIST.pdf
105,Mix % — B2C Subscriptions (myFICO),Share of Total Revenue from B2C scoring / myFICO.com subscriptions.,"Yellow POLICY = 11.05% (FY25 B2C Scores $219,980k / Total $1,990,869k).",Near-zero DSO (card-settled consumer subscriptions). Minimal Deferred Revenue vs annual SaaS invoices. High incremental margin; WC-light cash conversion.,SEC 10-K FY2025 — Scores segment B2C / myFICO disaggregation,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel14-d3ac/FICO/output/MODEL14_FICO_ASSUMPTIONS_LIST.pdf
106,Mix % — B2B Scores,"Share of Total Revenue from B2B scoring (mortgage, auto, card via CRAs).","Yellow POLICY = 47.65% (FY25 B2B Scores $948,595k / Total $1,990,869k).",Transactional volume through Experian/TransUnion/Equifax; ~30-day DSO. Does not create SaaS-style Deferred Revenue (usage-based recognition).,SEC 10-K FY2025 — Scores segment B2B disaggregation,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel14-d3ac/FICO/output/MODEL14_FICO_ASSUMPTIONS_LIST.pdf
107,Mix % — Professional Services,Share of Total Revenue from implementation / consulting / training fees.,"Yellow POLICY = 4.13% (FY25 PS $82,149k / Total $1,990,869k).",Upfront integration fees convert cash quickly (low DSO) but carry significantly lower gross margin than software/scores — pulls blended COGS up vs pure SaaS.,SEC 10-K FY2025 — Software segment Professional services line,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel14-d3ac/FICO/output/MODEL14_FICO_ASSUMPTIONS_LIST.pdf
108,Mix % — On-Premises Software,Share of Total Revenue from on-premises license + maintenance software.,"Yellow POLICY = 16.09% (FY25 on-prem $320,425k / Total $1,990,869k).","With SaaS mix, drives Deferred Revenue (maintenance billed in advance). Same 45-day DSO policy as SaaS. Completes mix identity to 100% of Total Rev.",SEC 10-K FY2025 — Software on-premises vs SaaS deployment table,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel14-d3ac/FICO/output/MODEL14_FICO_ASSUMPTIONS_LIST.pdf
DCF-D5,Cash Tax Rate (unlevered),Cash tax rate used for FCFF unlevered taxes and after-tax cost of debt.,Yellow POLICY = 22.87% (3yr avg IncomeTaxesPaidNet ÷ EBT). NOT linked to book tax J13.,DCF unlevered cash taxes use 3yr IncomeTaxesPaidNet/EBT ≈ 22.87%; 3S NI still uses book tax.,SEC companyfacts — IncomeTaxesPaidNet / EBT,https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel14-d3ac/FICO/output/MODEL14_FICO_ASSUMPTIONS_LIST.pdf
DCF-D6,WACC (Yacktman AAA-equity discount rate),Weighted average cost of capital for XNPV of FCFF + TV.,Yellow POLICY D6 = 7.10% (band 7.0%–7.2%; MODEL13 was 7.80%). CAPM stack kept at R15 ≈ 9.24% as reference only.,Branch Process: MODEL13 WACC = 7.80%; MODEL14 WACC = 7.10% (band 7.0%–7.2%). Yacktman AAA-equity: mandated GSE Scores cash flows are closer to a sovereign coupon than a β≈1.32 CAPM stock (CAPM ref ≈ 9.24% kept at R15 only). D6 is the policy rate used for XNPV.,Yacktman AAA-equity framework; CAPM ref FRED/Damodaran/Yahoo/8-K,https://fred.stlouisfed.org/series/DGS10,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel14-d3ac/FICO/output/MODEL14_FICO_ASSUMPTIONS_LIST.pdf
DCF-D7,Perpetual Growth (g),Long-run growth used only in the Gordon TV cross-check.,POLICY input = 3.5% (MODEL13 was 3.0%).,Branch Process: MODEL13 g=3.0%; MODEL14 g=3.5% because GSE-mandated Scores pricing power outpaces baseline inflation. Primary TV still uses exit multiple D8.,Yacktman pricing-power framing; Damodaran long-run growth,https://pages.stern.nyu.edu/adamodar/New_Home_Page/datafile/histimpl.html,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel14-d3ac/FICO/output/MODEL14_FICO_ASSUMPTIONS_LIST.pdf
DCF-D8,Exit EV/EBITDA (BASE),Terminal enterprise value multiple on Year-5 EBITDA.,"POLICY BASE 22.0x; Bull 27.0x; Bear 16.0x. Peer set: EFX 13.88x, VRSK 17.42x, SPGI 18.11x, MCO 22.20x, MSCI 23.74x. Median ≈ 18.11x.",Branch Process: MODEL13 exit = 21.0x; MODEL14 BASE = 22.0x (Bull 27.0x / Bear 16.0x). AAA toll-road premium vs peer median ~18.1x; still below FICO spot (~25–27x).,VCP Scanner FICO peer EV/EBITDA comps + Yacktman premium,https://vcpscanner.com/valuation/fico/relative,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel14-d3ac/FICO/output/MODEL14_FICO_ASSUMPTIONS_LIST.pdf
DCF-D13/D14,Debt & Cash (equity bridge),Gross debt and cash+marketable securities for EV → equity.,Latest 10-Q bridge totals (more current than FY25 3S balances).,Bridge should reflect the latest capital structure; 3S FY25 shown as reference.,SEC 10-Q — Fair Isaac Corp,https://www.sec.gov/Archives/edgar/data/814547/000081454725000016/fico-20250331.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel14-d3ac/FICO/output/MODEL14_FICO_ASSUMPTIONS_LIST.pdf
DCF-D12/I16,Shares Outstanding (buyback-adjusted),"Starting shares (D12 = 21,597.6k post–Q3 FY2026) fall each year with buybacks (3S equity CF / $1,149). SBC is added back in FCFF but does NOT increase shares — avoids double penalty. $/share uses Y5 shares (I16).","D16=$D$12; E16:I16 = MAX(1000, prior + 3S!{J–N}20 / $D$11); D37=$D$35/$I$16.","Starting shares = 21,597.635k (post–Q3 FY2026). Shares_t = Shares_t−1 + EquityCF_t / Price; EquityCF is buyback outflow (negative). Price policy $1,149 (= Q3 avg repurchase). SBC add-back does NOT increase shares. $/share uses Y5 buyback-adjusted shares.",SEC EX-99.1 Q3 FY2026 — FCF $370.3M; buybacks $1.96B / 1.705M sh,https://www.sec.gov/Archives/edgar/data/814547/000081454726000031/exhibit991erq32026.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel14-d3ac/FICO/output/MODEL14_FICO_ASSUMPTIONS_LIST.pdf
DCF-E25,Net WC investment (ΔOpNWC − ΔDeferred),FCFF subtracts Δ Operating NWC (AR+Inv−AP) and adds Increase in Deferred Revenue. AR and Deferred are strictly separated.,DCF E25:I25 = 3S!{J–N}90 − (3S Def_t − Def_t−1). Equivalent to −ΔOpNWC + ΔDeferred inside UFCFF.,"Branch Process MODEL13→MODEL14: Operating NWC = AR+Inv−AP (excludes Deferred) unchanged in structure, but DSO fade accelerates — MODEL13 targeted 45d; MODEL14 targets 35d (hist 97d → 35d over 5yrs) so cash is not artificially trapped. Increase in Deferred Revenue remains an explicit CFO/FCFF source (row 81). AR and unearned revenue are never double-counted. Deferred Revenue stays in Total Liabilities and is an explicit +ΔDeferred in CFO/FCFF (not inside Op NWC). Forecast Deferred = Rev × (SaaS%+OnPrem%) × (FY25 Def/FY25 soft Rev). FY25 current deferred ≈ $187.4M. Q1 FY2026 roll-forward: https://www.sec.gov/Archives/edgar/data/814547/000081454726000011/R45.htm.",SEC 10-Q Q1 FY2026 — Deferred revenue roll-forward (R45),https://www.sec.gov/Archives/edgar/data/814547/000081454726000011/R45.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel14-d3ac/FICO/output/MODEL14_FICO_ASSUMPTIONS_LIST.pdf
