sheet,row,name,formula_pattern,explanation_20_words,source_url
3 Statement Model,81,CF + Δ Deferred,={c}88−prev88,Explicit Deferred cash source (SaaS/maintenance billed upfront); also in CFO.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,68,CapEx $,={c}24*{c}18,Revenue times flat CapEx%; investing outflow used in CF and the PPE roll-forward.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,69,Cash from investing,={c}68,In this template CFI is CapEx only; equals the CapEx dollar line above.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,72,Debt issuance CF,={c}19,Pulls the 3yr-avg net debt CF policy into financing cash flow.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,73,Equity issuance CF,={c}20,Residual FCF buybacks after debt CF — prevents artificial cash stockpiling.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,74,Cash from financing,={c}19+{c}20,Debt plus equity financing cash; excluded from FCFF by design.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,76,Δ Cash,={c}66-{c}69+{c}74,CFO minus CapEx plus financing; net change that rolls opening cash to closing.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,77,Opening cash,={p}41,Starts at prior balance-sheet cash so the cash roll-forward matches history.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,78,Closing cash,={c}77+{c}76,Opening cash plus Δ cash; feeds BS cash and the cash-flow check.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,80,Cash check,={c}78-{c}41,Closing CF cash minus BS cash; must be zero when statements are linked.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,85,WC: AR (from DSO),={c}42,WC AR mirrors BS AR built from DSO (Rev × DSO/365).,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,86,WC: Inventory,={c}43,Working-capital inventory mirrors BS inventory (zero for this software business).,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,87,WC: AP (from DPO),={c}48,WC AP mirrors BS AP built from DPO (COGS × DPO/365).,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,88,WC: Deferred Revenue,={c}24×(SaaS%+OnPrem%)×(I88/(I24×softmix)),BS contract liability; ΔDef is explicit CFO cash source (not inside Op NWC).,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,89,Operating NWC,={c}85+{c}86-{c}87,AR + inventory − AP only; Deferred excluded (no double count with CF row 81).,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,90,Change in Op NWC,={c}89-{p}89,Year-over-year Op NWC change; AR/AP cash use — Deferred handled separately.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,115,Blended DSO (ref),Σ mix_i×DSO_i,Segment economics reference; assumption row 15 phases hist→45d (not a cliff).,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,104,Mix % SaaS,FY25 SaaS/Total Rev,SaaS/Platform share of Total Revenue; offsets within row 24 (not additive).,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,105,Mix % B2C myFICO,FY25 B2C/Total Rev,B2C subscription share; near-zero DSO card collection.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,106,Mix % B2B Scores,FY25 B2B/Total Rev,B2B transactional scores share; ~30-day DSO.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,107,Mix % Prof. Services,FY25 PS/Total Rev,"Implementation fees; fast cash, low gross margin.",https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,108,Mix % On-Prem,FY25 OnPrem/Total Rev,On-prem software share; with SaaS drives Deferred Revenue.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,122,Blended COGS %,1 − Σ mix_i×GM_i,Feeds assumption row 8; reflects low-margin professional services mix.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,92,PPE opening,={p}95 or I44,Prior closing PP&E (FY1 opens at last historical I44); base for CapEx and D&A.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,93,PPE + CapEx,={c}24*{c}18,Same CapEx dollars as CF; additions that grow the gross PP&E stock.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,94,PPE − D&A,={c}30,Same total D&A as the IS (Rev × DA%); reduces net PP&E and adds back in FCFF.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,95,PPE closing,={c}92+{c}93-{c}94,Open + CapEx − D&A; closing net PP&E posted to the balance sheet.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,98,Debt opening,={p}100 or I49,Prior closing debt (FY1 opens at historical I49); base for interest and issuance.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000016/fico-20250331.htm
3 Statement Model,99,Debt issuance,={c}19,Links the debt policy row into the schedule; base case keeps this at zero.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,100,Debt closing,={c}98+{c}99,Open plus issuance/(repayment); closing debt posted to the balance sheet.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,101,Interest (schedule),={c}98*{c}12,"Opening debt × interest%; same economics as IS interest, from the debt schedule.",https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
DCF Model,D6,WACC,Yacktman 6.65% policy,Yacktman AAA-equity WACC (6.5–6.8% band; MODEL14 was 7.1%); CAPM R15 reference only.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
DCF Model,D5,Cash tax rate,=3yr IncomeTaxesPaid/EBT,Cash tax rate for unlevered FCFF (not book tax on 3S J13); also feeds after-tax Rd.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
DCF Model,E21,EBIT,=3S EBT + Interest,Operating profit before interest/tax: 3S earnings before tax plus interest (≡ GP−SGA−R&D−DA).,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
DCF Model,E22,Unlevered cash tax,=EBIT×D5,Cash taxes as if all-equity financed using the historical cash tax rate.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
DCF Model,E23,D&A add-back,=3S IS D&A,Adds non-cash D&A (Rev × DA%) from the 3-statement into unlevered free cash flow.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
DCF Model,E24,CapEx,=3S CF CapEx,Subtracts CapEx linked from the 3-statement investing line (flat hist avg %).,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
DCF Model,E25,Net WC use,=ΔOpNWC−ΔDeferred,Subtracts Δ Op NWC and credits Increase in Deferred (AR and Deferred separated).,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
DCF Model,E26,Unlevered FCF,=EBIT−cashTax+DA+SBC−CapEx−ΔOpNWC+ΔDeferred,FCFF with SBC add-back and explicit Deferred cash source; discounted in the DCF.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
DCF Model,J27,Exit TV,=EBITDA_n×exit multiple,Terminal enterprise value at year 5 using exit EV/EBITDA (primary exit method).,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
DCF Model,E28,Transaction CF,=FCFF+TV (TV only in exit year),Periodic cash for XNPV: explicit FCFF each year; exit TV added in the terminal year.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
DCF Model,D32,Enterprise value,"=XNPV(WACC, CFs, mid-year dates)",Present value of FCFF + TV using mid-year dates and the live WACC.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
DCF Model,D35,Equity value,=EV+Cash−Debt,Equity bridge: enterprise value plus cash minus gross debt (net debt adjustment).,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
DCF Model,D37,Value / share,=Equity/Shares,Intrinsic equity value per share using diluted shares outstanding.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
DCF Model,R15,WACC CAPM,=We×Ke+Wd×Rd×(1−t),Weighted average cost of capital from CAPM Ke and after-tax cost of debt.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
