row,assumption,what_it_is,how_set_in_model,why_this_choice,source,source_url,assumptions_pdf_url
21,SBC % of Revenue,Stock-based compensation as % of sales; non-cash add-back in CFO and FCFF.,Yellow POLICY input: flat 8.25% (3yr FY23–25 avg ShareBasedCompensation / Revenue).,MODEL13 Yacktman: SBC is added back once in CFO and FCFF at ≈ 8.25% of Revenue (ShareBasedCompensation). MODEL13 does NOT also dilute shares by SBC$/Price (that would double-penalize). Share count instead falls with actual buyback cash outflows from residual levered FCF (3S equity CF row 20).,SEC 10-K cash flow — ShareBasedCompensation (add-back only; no share dilution),https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel13-d3ac/FICO/output/MODEL13_FICO_ASSUMPTIONS_LIST.pdf
104,Mix % — SaaS / Platform software,Share of Total Revenue from SaaS / cloud software (incl. FICO Platform cloud).,"FY25 base 21.08% (SaaS $419,720k / Total $1,990,869k), then +200 bps/yr taken from on-prem. Platform ARR KPI $263.6M is not additive IS revenue.",SaaS billed annually in advance → Deferred Revenue growth → explicit CFO cash source (3S row 81). Source: Q1 FY2026 10-Q deferred roll-forward (https://www.sec.gov/Archives/edgar/data/814547/000081454726000011/fico-20251231.htm). Mix offsets within Total Rev — not a second revenue line.,SEC 10-Q Q1 FY2026 — Deferred revenue / contract liabilities detail,https://www.sec.gov/Archives/edgar/data/814547/000081454726000011/R45.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel13-d3ac/FICO/output/MODEL13_FICO_ASSUMPTIONS_LIST.pdf
105,Mix % — B2C Subscriptions (myFICO),Share of Total Revenue from B2C scoring / myFICO.com subscriptions.,"Yellow POLICY = 11.05% (FY25 B2C Scores $219,980k / Total $1,990,869k).",Near-zero DSO (card-settled consumer subscriptions). Minimal Deferred Revenue vs annual SaaS invoices. High incremental margin; WC-light cash conversion.,SEC 10-K FY2025 — Scores segment B2C / myFICO disaggregation,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel13-d3ac/FICO/output/MODEL13_FICO_ASSUMPTIONS_LIST.pdf
106,Mix % — B2B Scores,"Share of Total Revenue from B2B scoring (mortgage, auto, card via CRAs).","Yellow POLICY = 47.65% (FY25 B2B Scores $948,595k / Total $1,990,869k).",Transactional volume through Experian/TransUnion/Equifax; ~30-day DSO. Does not create SaaS-style Deferred Revenue (usage-based recognition).,SEC 10-K FY2025 — Scores segment B2B disaggregation,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel13-d3ac/FICO/output/MODEL13_FICO_ASSUMPTIONS_LIST.pdf
107,Mix % — Professional Services,Share of Total Revenue from implementation / consulting / training fees.,"Yellow POLICY = 4.13% (FY25 PS $82,149k / Total $1,990,869k).",Upfront integration fees convert cash quickly (low DSO) but carry significantly lower gross margin than software/scores — pulls blended COGS up vs pure SaaS.,SEC 10-K FY2025 — Software segment Professional services line,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel13-d3ac/FICO/output/MODEL13_FICO_ASSUMPTIONS_LIST.pdf
108,Mix % — On-Premises Software,Share of Total Revenue from on-premises license + maintenance software.,"Yellow POLICY = 16.09% (FY25 on-prem $320,425k / Total $1,990,869k).","With SaaS mix, drives Deferred Revenue (maintenance billed in advance). Same 45-day DSO policy as SaaS. Completes mix identity to 100% of Total Rev.",SEC 10-K FY2025 — Software on-premises vs SaaS deployment table,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel13-d3ac/FICO/output/MODEL13_FICO_ASSUMPTIONS_LIST.pdf
DCF-D5,Cash Tax Rate (unlevered),Cash tax rate used for FCFF unlevered taxes and after-tax cost of debt.,Yellow POLICY = 22.87% (3yr avg IncomeTaxesPaidNet ÷ EBT). NOT linked to book tax J13.,"DCF unlevered cash taxes use the 3yr average cash tax rate (IncomeTaxesPaidNet ÷ EBT ≈ 22.87%), not the book effective tax rate. The 3-statement income statement still applies book tax for NI.",SEC companyfacts — IncomeTaxesPaidNet / EBT,https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel13-d3ac/FICO/output/MODEL13_FICO_ASSUMPTIONS_LIST.pdf
DCF-D6,WACC (Yacktman AAA-equity discount rate),Weighted average cost of capital for XNPV of FCFF + TV.,Yellow POLICY D6 = 7.80% (band 7.5–8.2%). CAPM stack kept at R15 ≈ 9.24% as reference only (not used for XNPV).,Yacktman AAA-equity WACC = 7.80% (policy band 7.5%–8.2%). FICO's Scores toll-bridge has ultra-low default risk and bond-like cash predictability; CAPM (~9.24% with β≈1.32) overstates the long-horizon discount rate for this franchise. Live CAPM stack remains in DCF!R15 as a reference; D6 is the Yacktman policy rate used for XNPV.,Yacktman AAA-equity framework; CAPM ref FRED/Damodaran/Yahoo/8-K,https://fred.stlouisfed.org/series/DGS10,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel13-d3ac/FICO/output/MODEL13_FICO_ASSUMPTIONS_LIST.pdf
DCF-D7,Perpetual Growth (g),Long-run growth used only in the Gordon TV cross-check.,POLICY input = 3.0%.,Long-run nominal GDP-like floor; primary TV uses exit multiple.,Damodaran long-run growth framing,https://pages.stern.nyu.edu/adamodar/New_Home_Page/datafile/histimpl.html,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel13-d3ac/FICO/output/MODEL13_FICO_ASSUMPTIONS_LIST.pdf
DCF-D8,Exit EV/EBITDA (BASE),Terminal enterprise value multiple on Year-5 EBITDA.,"POLICY BASE 21.0x; Bull 26.0x; Bear 15.5x. Peer set: EFX 13.88x, VRSK 17.42x, SPGI 18.11x, MCO 22.20x, MSCI 23.74x. Median ≈ 18.11x.",Base exit EV/EBITDA = 21.0x (raised from MODEL12 17.5x). A perpetual pricing-power compounder deserves a premium to the peer median (~18.1x); band Bull 26.0x / Bear 15.5x. Still below FICO spot (~25–27x).,VCP Scanner FICO peer EV/EBITDA comps + Yacktman premium,https://vcpscanner.com/valuation/fico/relative,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel13-d3ac/FICO/output/MODEL13_FICO_ASSUMPTIONS_LIST.pdf
DCF-D13/D14,Debt & Cash (equity bridge),Gross debt and cash+marketable securities for EV → equity.,Latest 10-Q bridge totals (more current than FY25 3S balances).,Bridge should reflect the latest capital structure; 3S FY25 shown as reference.,SEC 10-Q — Fair Isaac Corp,https://www.sec.gov/Archives/edgar/data/814547/000081454725000016/fico-20250331.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel13-d3ac/FICO/output/MODEL13_FICO_ASSUMPTIONS_LIST.pdf
DCF-D12/I16,Shares Outstanding (buyback-adjusted),"Starting shares (D12 = 23,764k FYE25) fall each year with buybacks (3S equity CF / price). SBC is added back in FCFF but does NOT increase shares — avoids double penalty. $/share uses Y5 shares (I16).","D16=$D$12; E16:I16 = MAX(1000, prior + 3S!{J–N}20 / $D$11); D37=$D$35/$I$16.","Starting shares = 23,764k (FYE Sep 30, 2025 outstanding). Each forecast year: Shares_t = Shares_t−1 + EquityIssuanceCF_t / Price. EquityIssuanceCF is the buyback outflow (negative) from 3S row 20 — so repurchases REDUCE the share count. SBC is added back in FCFF but does NOT increase shares (avoids double penalty). $/share uses Year-5 buyback-adjusted shares.","SEC 10-K FY2025 — shares outstanding 23,764k; buybacks $1.415B",https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel13-d3ac/FICO/output/MODEL13_FICO_ASSUMPTIONS_LIST.pdf
DCF-E25,Net WC investment (ΔOpNWC − ΔDeferred),FCFF subtracts Δ Operating NWC (AR+Inv−AP) and adds Increase in Deferred Revenue. AR and Deferred are strictly separated.,DCF E25:I25 = 3S!{J–N}90 − (3S Def_t − Def_t−1). Equivalent to −ΔOpNWC + ΔDeferred inside UFCFF.,"MODEL13 splits working capital for cash-flow clarity (no double count): Operating NWC = AR + Inventory − AP (excludes Deferred). Δ Op NWC uses cash when AR/AP/Inv rise. Separately, Increase in Deferred Revenue is an explicit positive CFO / FCFF line (SaaS & maintenance billed upfront). DSO phases from FY25 hist ≈ 97 days → policy target 45 days over 5 years (removes MODEL12's punitive AR cliff). AR changes never absorb Deferred billings. Deferred Revenue is a BS liability in Total Liabilities (AP + Debt + Deferred). It is NOT netted inside Op NWC for CFO. Forecast Deferred = Total Rev × (SaaS%+OnPrem%) × (FY25 Deferred ÷ FY25 software Rev). FY25 current deferred ≈ $187.4M (10-K). Q1 FY2026 10-Q shows deferred roll-forward and notes maintenance/SaaS billed annually in advance (https://www.sec.gov/Archives/edgar/data/814547/000081454726000011/R45.htm). Increase in Deferred = Def_t − Def_t−1 is added in CFO and FCFF. Scores/myFICO usage fees are NOT forced into Deferred (no double count with AR).",SEC 10-Q Q1 FY2026 — Deferred revenue roll-forward (R45),https://www.sec.gov/Archives/edgar/data/814547/000081454726000011/R45.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel13-d3ac/FICO/output/MODEL13_FICO_ASSUMPTIONS_LIST.pdf
