sheet,row,name,formula_pattern,explanation_20_words,source_url
3 Statement Model,73,Equity issuance CF,={c}20,Pulls the equity issuance/(buyback) policy into financing cash flow.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,74,Cash from financing,={c}19+{c}20,Debt plus equity financing cash; both policies are zero in the base case.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,76,Δ Cash,={c}65-{c}69+{c}74,CFO minus CapEx plus financing; net change that rolls opening cash to closing.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,77,Opening cash,={p}41,Starts at prior balance-sheet cash so the cash roll-forward matches history.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,78,Closing cash,={c}77+{c}76,Opening cash plus Δ cash; feeds BS cash and the cash-flow check.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,80,Cash check,={c}78-{c}41,Closing CF cash minus BS cash; must be zero when statements are linked.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,85,WC: Gross AR,={c}42,WC gross AR mirrors BS gross AR used in standard DSO.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,86,WC: Inventory,={c}43,Working-capital inventory mirrors BS inventory (zero for this software business).,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,87,WC: AP,={c}48,Working-capital AP mirrors BS AP so NWC uses the same operating balances.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,88,WC: Deferred Revenue,={c}24×(I88/I24),Contract liability projected at FY25 deferred/sales; separate from AR.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,89,Net working capital,={c}85+{c}86-{c}87-{c}88,GrossAR + inventory − AP − Deferred; standard operating NWC.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,90,Change in NWC,={c}89-{p}89,Year-over-year NWC change; the cash investment/(release) used in CFO and FCFF.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,92,PPE opening,={p}95 or I44,Prior closing PP&E (FY1 opens at last historical I44); base for CapEx and D&A.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,93,PPE + CapEx,={c}24*{c}18,Same CapEx dollars as CF; additions that grow the gross PP&E stock.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,94,PPE − D&A,=((Open+Open+CapEx)/2)×DA%,Depreciation on average PP&E; reduces net PP&E and adds back in FCFF.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,95,PPE closing,={c}92+{c}93-{c}94,Open + CapEx − D&A; closing net PP&E posted to the balance sheet.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,98,Debt opening,={p}100 or I49,Prior closing debt (FY1 opens at historical I49); base for interest and issuance.,https://www.sec.gov/Archives/edgar/data/814547/000081454726000030/fico-20260630.htm
3 Statement Model,99,Debt issuance,={c}19,Links the debt policy row into the schedule; base case keeps this at zero.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,100,Debt closing,={c}98+{c}99,Open plus issuance/(repayment); closing debt posted to the balance sheet.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,101,Interest (schedule),={c}98*{c}12,"Opening debt × interest%; same economics as IS interest, from the debt schedule.",https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
DCF Model,D6,WACC,=R15,Pulls the live CAPM WACC from the baked CAPM block so discounting uses researched Ke/Rd.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
DCF Model,E21,EBIT,=GP−SGA−R&D−DA from 3-statement,"Operating profit before interest/tax: gross profit minus SGA, R&D, and D&A from the 3S.",https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
DCF Model,E22,Unlevered tax,=EBIT×t,Taxes as if all-equity financed; uses DCF tax rate on EBIT for capital-structure-neutral FCFF.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
DCF Model,E23,D&A add-back,=3S D&A,Adds non-cash depreciation from the 3-statement into unlevered free cash flow.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
DCF Model,E24,CapEx,=3S CapEx CF,Subtracts growth CapEx linked from the 3-statement investing line.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
DCF Model,E25,ΔNWC,=3S ΔNWC,Subtracts the cash used when operating working capital rises with revenue.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
DCF Model,E26,Unlevered FCF,=EBIT−tax+DA−CapEx−ΔNWC,FCFF available to debt and equity; the cash flow discounted in the DCF.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
DCF Model,J27,Exit TV,=EBITDA_n×exit multiple,Terminal enterprise value at year 5 using exit EV/EBITDA (primary exit method).,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
DCF Model,E28,Transaction CF,=FCFF+TV (TV only in exit year),Periodic cash for XNPV: explicit FCFF each year; exit TV added in the terminal year.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
DCF Model,D32,Enterprise value,"=XNPV(WACC, CFs, mid-year dates)",Present value of FCFF + TV using mid-year dates and the live WACC.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
DCF Model,D35,Equity value,=EV+Cash−Debt,Equity bridge: enterprise value plus cash minus gross debt (net debt adjustment).,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
DCF Model,D37,Value / share,=Equity/Shares,Intrinsic equity value per share using diluted shares outstanding.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
DCF Model,R15,WACC CAPM,=We×Ke+Wd×Rd×(1−t),Weighted average cost of capital from CAPM Ke and after-tax cost of debt.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
