row,assumption,what_it_is,how_set_in_model,why_this_choice,source,source_url,assumptions_pdf_url
18,CapEx % of Revenue,Capital investment (PPE + capitalized software) as % of sales.,Yellow POLICY path: 1.00% / 0.85% / 0.70% / 0.55% / 0.40% (fade with operating leverage).,MODEL17 Yacktman: Updated CapEx from Model16 (Previous: 1.25%→0.60%) to Model17 (New: 1.00% → 0.85% → 0.70% → 0.55% → 0.40%) — Scores royalties need ~0 CapEx; do not tax the coupon with Software capitalization.,SEC 10-K / companyfacts — PPE purchases + capitalized software; fade to maintenance,https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel17-d3ac/FICO/output/MODEL17_FICO_ASSUMPTIONS_LIST.pdf
19,Debt Issuance (Repayment),New borrowing (+) or repayment (−) in the forecast ($000s).,Equation: −(CFO−CapEx) − EquityCF = (1.40−1)×FCF (debt funds buybacks above organic FCF).,MODEL17: Updated buybacks from Model16 (Previous: residual ≈1.0× FCF) to Model17 (New: 1.40×(CFO−CapEx); debt funds MULT−1). Q3 FY2026: buybacks $1960M vs FCF $370.3M (https://www.sec.gov/Archives/edgar/data/814547/000081454726000031/exhibit991erq32026.htm). Financing is excluded from FCFF.,SEC EX-99.1 Q3 FY2026 — levered buybacks; companyfacts senior notes / LOC,https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel17-d3ac/FICO/output/MODEL17_FICO_ASSUMPTIONS_LIST.pdf
20,Equity Issued (Repaid),New equity issued (+) or buybacks (−) in the forecast BS/CF.,Equation: −1.40×(CFO−CapEx) levered buybacks (hist 3yr avg ≈ $881M/yr; Q3 FY26 >> FCF).,"Updated buybacks from Model16 (Previous: residual ≈1.0× FCF) to Model17 (New: 1.40× FCF). Buybacks are financing — excluded from FCFF. DCF share count FALLS with this outflow. Updated shares from Model16 (Previous: 23,764k @ $1,046) to Model17 (New: 21,597.635k @ $1,149 post–Q3). SBC add-back does NOT dilute; shares fall via buybacks only.",SEC EX-99.1 Q3 FY2026 — buybacks vs FCF; 10-K FY2025 repurchase footnote,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel17-d3ac/FICO/output/MODEL17_FICO_ASSUMPTIONS_LIST.pdf
21,SBC % of Revenue,Stock-based compensation as % of sales; non-cash add-back in CFO and FCFF.,Yellow POLICY fade path: 8.25% / 7.80% / 7.40% / 7.00% / 6.60% (starts at 3yr avg 8.25%).,MODEL17 Yacktman: Updated SBC from Model16 (Previous: flat 8.25%) to Model17 (New: fade 8.25% / 7.80% / 7.40% / 7.00% / 6.60%) because royalty price dollars do not require 1:1 SBC. Source: https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json.,SEC 10-K cash flow — ShareBasedCompensation (add-back only; no share dilution),https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel17-d3ac/FICO/output/MODEL17_FICO_ASSUMPTIONS_LIST.pdf
104,Mix % — SaaS / Platform software,Share of Total Revenue from SaaS / cloud software (incl. FICO Platform cloud).,"FY25 base 21.08% (SaaS $419,720k / Total $1,990,869k), then +250 bps/yr taken from on-prem. Platform ARR KPI $263.6M is not additive IS revenue.",SaaS mix shift unchanged vs Model16 (+250 bps/yr). SaaS billed annually in advance → Deferred Revenue growth → explicit CFO cash source (row 81). Source: https://www.sec.gov/Archives/edgar/data/814547/000081454726000011/fico-20251231.htm.,SEC 10-Q Q1 FY2026 — Deferred revenue / contract liabilities detail,https://www.sec.gov/Archives/edgar/data/814547/000081454726000011/R45.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel17-d3ac/FICO/output/MODEL17_FICO_ASSUMPTIONS_LIST.pdf
105,Mix % — B2C Subscriptions (myFICO),Share of Total Revenue from B2C scoring / myFICO.com subscriptions.,"Yellow POLICY = 11.05% (FY25 B2C Scores $219,980k / Total $1,990,869k).",Near-zero DSO (card-settled consumer subscriptions). Minimal Deferred Revenue vs annual SaaS invoices. High incremental margin; WC-light cash conversion.,SEC 10-K FY2025 — Scores segment B2C / myFICO disaggregation,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel17-d3ac/FICO/output/MODEL17_FICO_ASSUMPTIONS_LIST.pdf
106,Mix % — B2B Scores,"Share of Total Revenue from B2B scoring (mortgage, auto, card via CRAs).","Yellow POLICY = 47.65% (FY25 B2B Scores $948,595k / Total $1,990,869k).",Transactional volume through Experian/TransUnion/Equifax; ~30-day DSO. Does not create SaaS-style Deferred Revenue (usage-based recognition).,SEC 10-K FY2025 — Scores segment B2B disaggregation,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel17-d3ac/FICO/output/MODEL17_FICO_ASSUMPTIONS_LIST.pdf
107,Mix % — Professional Services,Share of Total Revenue from implementation / consulting / training fees.,"Yellow POLICY = 4.13% (FY25 PS $82,149k / Total $1,990,869k).",Upfront integration fees convert cash quickly (low DSO) but carry significantly lower gross margin than software/scores — pulls blended COGS up vs pure SaaS.,SEC 10-K FY2025 — Software segment Professional services line,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel17-d3ac/FICO/output/MODEL17_FICO_ASSUMPTIONS_LIST.pdf
108,Mix % — On-Premises Software,Share of Total Revenue from on-premises license + maintenance software.,"Yellow POLICY = 16.09% (FY25 on-prem $320,425k / Total $1,990,869k).","With SaaS mix, drives Deferred Revenue (maintenance billed in advance). Same 45-day DSO policy as SaaS. Completes mix identity to 100% of Total Rev.",SEC 10-K FY2025 — Software on-premises vs SaaS deployment table,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel17-d3ac/FICO/output/MODEL17_FICO_ASSUMPTIONS_LIST.pdf
DCF-D5,Cash Tax Rate (unlevered),Cash tax rate used for FCFF unlevered taxes and after-tax cost of debt.,Yellow POLICY = 22.87% (3yr avg IncomeTaxesPaidNet ÷ EBT). NOT linked to book tax J13.,Keep cash tax 22.87% (3yr IncomeTaxesPaidNet/EBT). Book ETR ~18.8% used in CAPM Rd(1−T).,SEC companyfacts — IncomeTaxesPaidNet / EBT,https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel17-d3ac/FICO/output/MODEL17_FICO_ASSUMPTIONS_LIST.pdf
DCF-D6,WACC (Yacktman-adj CAPM — D6 = R15),Weighted average cost of capital for XNPV of FCFF + TV.,D6 = R15 (Yacktman-adj CAPM) ≈ 7.68%. Updated from Model16 (Previous: raw CAPM 9.27%) to Model17 (New: Yacktman-adj CAPM 7.68%). Rf/β/ERP/Rd inputs in Q6:R15 with clickable sources.,Updated WACC from Model16 (Previous: raw CAPM 9.27% with Yahoo β=1.32) to Model17 (New: Yacktman-adjusted CAPM 7.68%). Algebra: β_Blume=(2/3)×1.32+(1/3)×1.0=1.213; β_AAA=0.70 (GSE Scores coupon credit); β_Yacktman=0.30×β_Blume+0.70×β_AAA=0.854; Ke=Rf(4.67%)+β×ERP(4.28%)=8.33%; Rd_at=6.250%×(1−18.77%)=5.08%; WACC=80%×Ke+20%×Rd_at=7.68%. Raw CAPM kept at R15 as reference. Sources: https://finance.yahoo.com/quote/FICO/key-statistics/; https://www.jstor.org/stable/2329867; https://investors.fico.com/static-files/66ef723c-1f2e-4501-a452-ab2f3d02ae85; https://fred.stlouisfed.org/series/DGS10; https://www.sec.gov/Archives/edgar/data/814547/000119312526117936/d56220d8k.htm.,Blume 1971; FRED DGS10; Yahoo β; Damodaran ERP; SEC 8-K 6.250% Rd,https://fred.stlouisfed.org/series/DGS10,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel17-d3ac/FICO/output/MODEL17_FICO_ASSUMPTIONS_LIST.pdf
DCF-D7,Perpetual Growth (g),Long-run growth used only in the Gordon TV cross-check.,POLICY input = 3.5%. Updated from Model16 (Previous: 3.0%) to Model17 (New: 3.5%).,Long-run nominal GDP-like floor; primary TV uses exit multiple.,Damodaran long-run growth framing,https://pages.stern.nyu.edu/adamodar/New_Home_Page/datafile/histimpl.html,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel17-d3ac/FICO/output/MODEL17_FICO_ASSUMPTIONS_LIST.pdf
DCF-D8,Exit EV/EBITDA (BASE),Terminal enterprise value multiple on Year-5 EBITDA.,"POLICY BASE 23.0x; Bull 27.0x; Bear 17.0x. Peer set: EFX 13.88x, VRSK 17.42x, SPGI 18.11x, MCO 22.20x, MSCI 23.74x. Median ≈ 18.11x.",Updated exit from Model16 (Previous: 21.0x) to Model17 (New: BASE 23.0x; Bull 27.0x / Bear 17.0x). Still below spot.,VCP Scanner FICO peer EV/EBITDA comps + Yacktman premium,https://vcpscanner.com/valuation/fico/relative,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel17-d3ac/FICO/output/MODEL17_FICO_ASSUMPTIONS_LIST.pdf
DCF-D13/D14,Debt & Cash (equity bridge),Gross debt and cash+marketable securities for EV → equity.,Latest 10-Q bridge totals (more current than FY25 3S balances).,Bridge should reflect the latest capital structure; 3S FY25 shown as reference.,SEC 10-Q — Fair Isaac Corp,https://www.sec.gov/Archives/edgar/data/814547/000081454725000016/fico-20250331.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel17-d3ac/FICO/output/MODEL17_FICO_ASSUMPTIONS_LIST.pdf
DCF-D12/I16,Shares Outstanding (buyback-adjusted),"Starting shares (D12 ≈ 21,597.6k post–Q3 @ $1,149) fall each year with 1.4×FCF buybacks (3S equity CF / price). SBC is added back in FCFF but does NOT increase shares — avoids double penalty. $/share uses Y5 shares (I16).","D16=$D$12; E16:I16 = MAX(1000, prior + 3S!{J–N}20 / $D$11); D37=$D$35/$I$16.","Updated shares from Model16 (Previous: 23,764k @ $1,046) to Model17 (New: 21,597.635k @ $1,149 post–Q3). SBC add-back does NOT dilute; shares fall via buybacks only.","EX-99.1 Q3 FY2026 — shares ≈ 21,597.6k @ $1,149; FY25 buybacks $1.415B",https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel17-d3ac/FICO/output/MODEL17_FICO_ASSUMPTIONS_LIST.pdf
DCF-E25,Net WC investment (ΔOpNWC − ΔDeferred),FCFF subtracts Δ Operating NWC (AR+Inv−AP) and adds Increase in Deferred Revenue. AR and Deferred are strictly separated.,DCF E25:I25 = 3S!{J–N}90 − (3S Def_t − Def_t−1). Equivalent to −ΔOpNWC + ΔDeferred inside UFCFF.,DSO path unchanged vs Model16 (97→28d). Op NWC = AR+Inv−AP ONLY. +ΔDeferred is a SEPARATE CFO/FCFF source. No AR/unearned double-count. Source: https://www.sec.gov/Archives/edgar/data/814547/000081454726000011/R45.htm. Deferred = Rev × (SaaS%+OnPrem%) × (FY25 Def/FY25 soft Rev); +ΔDeferred in CFO row 81. FY25 deferred ≈ $187.4M. Detail: https://www.sec.gov/Archives/edgar/data/814547/000081454726000011/R45.htm.,SEC 10-Q Q1 FY2026 — Deferred revenue roll-forward (R45),https://www.sec.gov/Archives/edgar/data/814547/000081454726000011/R45.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel17-d3ac/FICO/output/MODEL17_FICO_ASSUMPTIONS_LIST.pdf
